VERSE,SCRIPTURE
Verse 8,"Jehova, ngihole ngokulunga kwakho ngenxa yezitha zami, ulungise indlela yakho phambi kobuso bami.  "
Verse 9,Ngokuba alikho iqiniso emlonyeni wabo; izibilini zabo zingukonakala: umphimbo wabo uyithuna elivulekileyo; bayathopha ngolimi lwabo.  
Verse 10,"Balahle ngecala, Nkulunkulu. Mabawe ngenxa yamacebo abo, ubawise ngobuningi beziphambeko zabo, ngokuba bahlubukile kuwe.  "
Verse 11,"Kepha mabajabule bonke abathemba kuwe, bahalalise kuze kube phakade, abathanda igama lakho bethabela kuwe.  "
Verse 12,Ngokuba wena Jehova uyambusisa olungileyo; umphahla ngomusa njengesihlangu.
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 1,"Jehova, ungangijezisi ngentukuthelo yakho, ungangishayi ngolaka lwakho.  "
Verse 2,"Yiba nomusa kimi, Jehova, ngokuba ngidangele; ngiphilise, Jehova, ngokuba amathambo ami ayathuthumela,  "
Verse 3,"nomphefumulo wami uyathuthumela, kepha wena Jehova, koze kube nini na?  "
Verse 4,"Buya, Jehova, ukhulule umphefumulo wami, ungisindise ngenxa yesihawu sakho.  "
Verse 5,Ngokuba akukho ukukhumbula wena ekufeni; ngubani oyakukubonga endaweni yabafileyo na?  
Verse 6,"Ngikhathele ukububula kwami; ngimanzisa icansi lami njalo ebusuku, ngimanzisa ukhukho lwami ngezinyembezi zami.  "
Verse 7,Iso lami liyafiphala ngokudabuka; liyaguga ngenxa yezitha zami zonke.  
Verse 8,"Dedani kimi nina nonke enenza okubi, ngokuba uJehova ulizwile izwi lokukhala kwami;  "
Verse 9,"uJehova uzwile ukunxusa kwami, uJehova uyamukela umkhuleko wami.  "
Verse 10,"Zonke izitha zami ziyakujabha, zishaywe luvalo; ziyakuhlehla, zijabhe ngokuphazima kweso."
Verse 11,
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 1,"Jehova, Nkulunkulu wami, ngiyaphephela kuwe;  "
Verse 2,"ngisindise kubo bonke abangizingelayo, ungikhulule, bangaze bawudwengule umphefumulo wami njengengonyama eklebhula, kungekho okhululayo.  "
Verse 3,"Jehova Nkulunkulu wami, uma ngikwenzile lokho, uma kukhona okubi ezandleni zami,  "
Verse 4,"uma ngiphindise okubi kohlalisene nami ngokuthula, ngaphanga isitha sami kungekho sici,  "
Verse 5,"isitha masiwuzingele umphefumulo wami, siwufice, sikunyathele phansi ukuphila kwami, Sela*  "
Verse 6,"Sukuma, Jehova, ngentukuthelo yakho, uvuke ngenxa yolaka lwezitha zami, ungimele; ngokuba uyalezile ukwahlulela.  "
Verse 7,"Umhlangano wezizwe mawukuphahle, ubuyele phezulu ngaphezu kwawo.  "
Verse 8,"UJehova uyahlulela izizwe; ngahlulele, Jehova, ngokulunga kwami nangobuqotho bami obukimi.  "
Verse 9,"Makuphele ukonakala kwababi, kepha olungileyo mawumqinise. Nguwe phela ohlola izinhliziyo nezinso, Nkulunkulu olungileyo.  "
Verse 10,Isihlangu sami sikuNkulunkulu osindisa abaqotho ngenhliziyo.  
Verse 11,UNkulunkulu ungumahluleli olungileyo; unguNkulunkulu othukuthela imihla yonke.  
Verse 12,"Uma umuntu engaphenduki, uyakulola inkemba yakhe, ansale umnsalo wakhe, awulungisele,  "
Verse 13,izikhali zokubulala azibhekisele kuye; imicibisholo uyenza ishise.  
Verse 14,"Unemihelo ngobubi; ukhulelwe ngukona, uzala amanga.  "
Verse 15,"Umgodi uwumba, uwugubha, kepha ukhalakathela egebeni alenzileyo.  "
Verse 16,Ukwelelesa kwakhe kubuyela ekhanda lakhe; ubudlwangudlwangu bakhe behlela okhakhayini lwakhe.  
Verse 17,"Ngizakumbonga uJehova ngokokulunga kwakhe, ngihubele igama likaJehova oPhezukonke."
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 1,"Jehova Nkosi yethu, igama lakho liyababazeka kangaka emhlabeni wonke! wena owabeka inkazimulo yakho ezulwini.  "
Verse 2,Ngomlomo wezingane nowabancelayo wagxilisa amandla ngenxa yabamelene nawe ukuba uthulise isitha nophindisayo.  
Verse 3,"Lapha ngibuka izulu lakho, umsebenzi weminwe yakho, inyanga nezinkanyezi ozimisileyo,  "
Verse 4,"umuntu uyini ukuba umkhumbule, nendodana yomuntu ukuba uyinake na?  "
Verse 5,"Wamenza waba ngaphansana kukaNkulunkulu, wamqhelisa ngenkazimulo nangobukhosi.  "
Verse 6,Wamenza abe ngumbusi phezu kwemisebenzi yezandla zakho; konke wakubeka phansi kwezinyawo zakhe:  
Verse 7,"izimvu, nezinkomo zonke, yebo, nezilwane zasendle,  "
Verse 8,"nezinyoni zezulu, nezinhlanzi zolwandle, nakho konke okuhamba ezindleleni zolwandle.  "
Verse 9,"Jehova Nkosi yethu, igama lakho liyababazeka kangaka emhlabeni wonke!"
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 1,Ngiyakumbonga uJehova ngayo yonke inhliziyo yami; ngiyakulanda zonke izimangaliso zakho.  
Verse 2,"Ngiyakujabula, ngethabe kuwe; ngiyakudumisa igama lakho wena oPhezukonke,  "
Verse 3,"ngokuba izitha zami zibuyela emuva, ziwa, zibhubha ebusweni bakho,  "
Verse 4,"ngokuba ulimelele ilungelo lami nendaba yami, uhlezi esihlalweni sobukhosi, ungumahluleli olungileyo.  "
Verse 5,"Ujezisile abezizwe, wabhubhisa ababi; igama labo ulesulile kuze kube phakade naphakade.  "
Verse 6,"Izitha ziphelile, zachitheka kuze kube phakade; imizi wayisimbula, ukukhunjulwa kwayo kwaphela nya.  "
Verse 7,UJehova uyabusa kuze kube phakade; isihlalo sakhe sobukhosi usimisela ukwahlulela;  
Verse 8,"umhlaba uyakuwahlulela ngokulunga, athethe amacala ezizwe ngobuqotho.  "
Verse 9,"UJehova uyinqaba yocindezelweyo, uyinqaba ezikhathini zokuhlupheka.  "
Verse 10,Nabalaziyo igama lakho bayakwethemba wena; ngokuba wena Jehova awubashiyi abakufunayo.  
Verse 11,Hubani nimdumise uJehova ohlezi eSiyoni; memezelani ezizweni izenzo zakhe ezinkulu.  
Verse 12,Ngokuba yena ophindisela igazi uyabakhumbula abahluphekayo; akakhohlwa ukukhala kwabo.  
Verse 13,"Yiba nomusa kimi, Jehova; kubone engihlupheka ngakho ngabangizondayo wena ongiphakamisa emasangweni okufa,  "
Verse 14,"ukuze ngilande ngalo lonke udumo lwakho, ngethabe ngokusindisa kwakho emasangweni endodakazi yaseSiyoni.  "
Verse 15,Abezizwe bashone phansi egebeni abalenzileyo; unyawo lwabo lubhajwe esihibeni abasifihlileyo.  
Verse 16,"UJehova uzazisile, wahlulela; Higayoni.* Sela*  "
Verse 17,"Ababi bayakubuyela endaweni yabafileyo, bonke abezizwe abakhohlwa uNkulunkulu.  "
Verse 18,Ngokuba ompofu kayikukhohlakala njalo; ithemba labahluphekayo aliyikunyamalala kuze kube phakade.  
Verse 19,"Vuka, Jehova! Mawungavumi ukuba abantu bahlule; abezizwe mabahlulelwe ebusweni bakho.  "
Verse 20,"Mabashaywe luvalo, Jehova; Sela*"
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 1,"Jehova, umeleni kude na? Uzifihlelani ubuso ezikhathini zokuhlupheka na?  "
Verse 2,Ngokuqhosha komubi ompofu uyahlupheka; mababanjwe ngamacebo abawacebileyo.  
Verse 3,"Ngokuba omubi uyazigabisa ngokufisa komphefumulo wakhe, nohulazayo uyamvalelisa, amdelele uJehova.  "
Verse 4,"Omubi ngokuzikhukhumeza kobuso bakhe uthi: “Akanaki lutho; akakho uNkulunkulu,” injalo imicabango yakhe yonke.  "
Verse 5,Izindlela zakhe zithembekile izikhathi zonke; izahlulelo zakho ziphakeme kakhulu kunokubona kwakhe; zonke izitha zakhe uyazidelela.  
Verse 6,Uthi enhliziyweni yakhe: “Angiyikuzanyazanyiswa; izizukulwane nezizukulwane angisoze ngehlelwa ngozi.”  
Verse 7,Umlomo wakhe ugcwele isiqalekiso nenkohliso nobudlova; ngaphansi kolimi lwakhe kukhona ukwelelesa nokonakala.  
Verse 8,Uhlezi ezindaweni zokuqamekela zemizi; ezindaweni ezisithekileyo uyambulala ongenacala; amehlo akhe ayamhlwaya othithibeleyo.  
Verse 9,Endaweni esithekileyo uqamekela njengengonyama emphandwini wayo; uhlomele ukumbamba ohluphekileyo; uyambamba ohluphekileyo ngokumngenisa esihibeni sakhe.  
Verse 10,"Uyanyonyoba, uyakhothama, abathithibeleyo bawe ngamazipho akhe.  "
Verse 11,"Uthi enhliziyweni yakhe: “UNkulunkulu ukhohliwe, ubusithezile ubuso bakhe; akasoze wakubona nanini.”  "
Verse 12,"Vuka, Jehova! Nkulunkulu, phakamisa isandla sakho, ungakhohlwa abahluphekileyo.  "
Verse 13,"Kungani ukuba omubi adelele uNkulunkulu, athi enhliziyweni yakhe: “Awuyikukunaka,” na?  "
Verse 14,Ubonile wena; ngokuba ukukhathazeka nokuhlupheka uyakubona wena ukuze ukubeke esandleni sakho; othithibeleyo uyazinikela kuwe; wena ungumsizi wentandane.  
Verse 15,"Yaphula ingalo yomubi; buphenyisise ububi besoni, ukuze ungabe usabufumana.  "
Verse 16,UJehova uyinkosi kuze kube phakade naphakade; abezizwe bayachithwa emhlabeni wakhe.  
Verse 17,"Jehova, uyakuzwa ukulangazela kwabamnene; uyaqinisa inhliziyo yabo, indlebe yakho uyibeka kubo  "
Verse 18,"ukuba wahlulele intandane nocindezelweyo, ukuze umuntu wasemhlabeni angabe esabanga uvalo."
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 1,"Ngiyaphephela kuJehova; nisho kanjani kuwo umphefumulo wami ukuthi: “Balekela entabeni yenu njengenyoni, na?  "
Verse 2,"Ngokuba bhekani, ababi bawunsala umnsalo wabo, babeka imicibisholo yabo entanjeni ukuba bacibishele ebumnyameni abaqotho ngenhliziyo.  "
Verse 3,"Nxa izisekelo zidilizwa, olungileyo angenzani na?”  "
Verse 4,"UJehova usethempelini lakhe elingcwele, uJehova, isihlalo sakhe sobukhosi sisezulwini; amehlo akhe ayabuka, izinkophe zakhe ziyahlola abantwana babantu.  "
Verse 5,UJehova uyamhlola olungileyo; kepha omubi nothanda ubudlwangudlwangu umphefumulo wakhe uyamzonda.  
Verse 6,Unisa izihibe phezu kwababi; umlilo nesibabule nomoya oshisayo kuyisabelo sendebe yabo.  
Verse 7,"Ngokuba uJehova ulungile, uyathanda ukulunga; oqotho uyakubheka ubuso bakhe."
Verse 8,
Verse 9,
Verse 10,
Verse 11,
Verse 12,
Verse 1,"Siza, Jehova, ngokuba owesaba uNkulunkulu akasekho, ngokuba banyamalele abathembekileyo kubantwana babantu.  "
Verse 2,"Bakhuluma amanga, kwaba yilowo nalowo kumakhelwane wakhe; ngezindebe ezithophayo bakhuluma nganhliziyombili.  "
Verse 3,"UJehova uyakunquma zonke izindebe ezithophayo, ulimi olukhuluma amazwi amakhulu,  "
Verse 4,abathi: “Siyakunqoba ngolimi lwethu; izindebe zethu zinathi; ngubani oyinkosi phezu kwethu na?”  
Verse 5,"“Ngenxa yokubandezeka kwabahluphekileyo nangokububula kwabampofu ngizakuvuka kalokhu,” usho uJehova, “ngimbeke ekusindisweni akulangazelelayo.”  "
Verse 6,"Amazwi kaJehova angamazwi ahlanzekileyo, anjengesiliva elihlanjululwe esithandweni emhlabathini, lihlanjululwe kasikhombisa.  "
Verse 7,"Wena Jehova uyakubagcina, ubavikele kulesi sizukulwane kuze kube phakade.  "
Verse 8,"Abangamesabi uNkulunkulu bayashanguza nxazonke, lapho amanyala ephakeme kubantwana babantu."
Verse 9,
Verse 10,
Verse 11,
Verse 12,
Verse 13,
Verse 1,"Koze kube nini, Jehova, ungikhohlwa njalonjalo na? Koze kube nini usitheza ubuso bakho kimi na?  "
Verse 2,"Koze kube nini ngikhathazeka emphefumulweni wami, nginosizi enhliziyweni yami usuku lonke, na? Koze kube nini isitha sami siziphakamisa phezu kwami na?  "
Verse 3,"Bheka neno, ungiphendule, Jehova Nkulunkulu wami; khanyisa amehlo ami, ngize ngingalali ubuthongo bokufa,  "
Verse 4,"ukuze isitha sami singasho ukuthi: “Ngimahlulile,” funa abamelene nami bethabe lapha ngintengayo.  "
Verse 5,Kepha ngiwuthembile umusa wakho; inhliziyo yami izakwethaba ngensindiso yakho;  
Verse 6,"ngizakuhlabelela kuJehova, ngokuba ungenzele okuhle."
Verse 7,
Verse 8,
Verse 9,
Verse 1,"Isiwula sithi enhliziyweni yaso: “Akakho uNkulunkulu.” Yonakele, iyanengeka imisebenzi yabo; akakho owenza okuhle.  "
Verse 2,"UJehova uyabuka esezulwini abantwana babantu ukucinga ukuba ukhona yini oqondayo, ofuna uNkulunkulu.  "
Verse 3,"Baphambukile bonke, bonakele bonke; akakho owenza okuhle, akakho noyedwa.  "
Verse 4,"Abaqondi lutho yini bonke abenza okubi, abadla abantu bami, njengokuba bedla isinkwa, bangakhuleki kuJehova, na?  "
Verse 5,"Khona besaba nokwesaba, ngokuba uNkulunkulu ukuso isizukulwane sabalungileyo.  "
Verse 6,"Icebo lohluphekileyo niyalijabhisa, kepha uJehova uyisiphephelo sakhe.  "
Verse 7,"Sengathi ukusindiswa kuka-Israyeli kungavela eSiyoni. Mhla uJehova ebuyisa ukuthunjwa kwabantu bakhe uJakobe uyakwethaba, u-Israyeli ajabule."
Verse 8,
Verse 9,
Verse 10,
Verse 11,
Verse 1,"Jehova, ngubani oyakuhlala etendeni lakho na? Ngubani oyakwakha entabeni yakho engcwele na?  "
Verse 2,"Yilowo ohamba ngobuqotho nowenza ukulunga, okhuluma iqiniso enhliziyweni yakhe,  "
Verse 3,"ongahlebi ngolimi lwakhe, ongamoni umngane wakhe, nongamhlazi umakhelwane wakhe;  "
Verse 4,"obuka onengekayo ngokuzakumenyanya, kepha ebazisa abamesabayo uNkulunkulu; ofunga ngokuzakumlimaza, nokho angalaphuli izwi lakhe;  "
Verse 5,"ongatsheleki muntu imali yakhe ukuba izale, nongamukeli umvuzo ngongenacala; owenza lokhu akayikuzanyazanyiswa naphakade."
Verse 6,
Verse 7,
Verse 8,
Verse 9,
Verse 10,
Verse 1,"Ngilondoloze, Nkulunkulu, ngokuba ngiyaphephela kuwe.  "
Verse 2,Ngithi kuJehova: “Wena uyiNkosi yami; anginakho okuhle ngaphandle kwakho.”  
Verse 3,"Abangcwele abasemhlabeni, abayizikhulu, yonke intokozo yami ikubona.  "
Verse 4,Ziningi izinhlupheko zabazizuzela omunye unkulunkulu; angiyikunikela ngeminikelo yabo yegazi; angiyikuwaphatha amagama abo ngezindebe zami.  
Verse 5,"UJehova uyisabelo esahlukaniselwe mina, nendebe yami; wena uqinisa ifa lami.  "
Verse 6,"Izabelo zingehlele ezindaweni ezinhle, yebo, nginalo ifa elihle.  "
Verse 7,Ngiyakumbonga uJehova ongilulekayo; nasebusuku izinso zami ziyangiyala.  
Verse 8,"Ngimbeke uJehova njalo phambi kwami, ngokuba ungakwesokunene sami, angiyikuzanyazanyiswa.  "
Verse 9,"Ngakho-ke inhliziyo yami iyajabula, nomphefumulo wami uyethaba, nenyama yami iyakuhlala ngokwethemba.  "
Verse 10,Ngokuba awuyikunikela umphefumulo wami endaweni yabafileyo; awuyikuvuma ukuba ongcwele wakho abone ukubola.  
Verse 11,Uyakungazisa indlela yokuphila; ukugcwala kwenjabulo kusebusweni bakho; intokozo isesandleni sakho sokunene kuze kube phakade.
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 1,"Yizwa ukulunga, Jehova, ulalele ukukhala kwami, ubeke indlebe emkhulekweni wami ophuma ezindebeni ezingenankohliso.  "
Verse 2,Ukwahlulelwa kwami makuvele ebusweni bakho; amehlo akho mawabheke okulungileyo.  
Verse 3,"Uyalinga inhliziyo yami; ungihambele ebusuku, uyangihlolisisa, awufumani lutho; ngiyahlosa ukuba umlomo wami ungaphambuki.  "
Verse 4,"Emisebenzini yabantu ngiyazilinda, ezindleleni zezidlova ngezwi lezindebe zakho.  "
Verse 5,"Izinyathelo zami zinamathela ezinyaweni zakho, izinyawo zami azisheleli.  "
Verse 6,"Ngikhala kuwe, ngokuba uyangizwa, Nkulunkulu; beka indlebe yakho kimi, uzwe izwi lami.  "
Verse 7,Bonakalisa isihe sakho esimangalisayo wena osindisa ngesandla sakho sokunene labo abaphephela kuwe kwababahlaselayo.  
Verse 8,"Ngigcine njengenhlamvu yeso, ungisithe ethunzini lamaphiko akho  "
Verse 9,"kubo ababi abangilimazayo, kuzo izitha zokuphila kwami ezingihaqileyo.  "
Verse 10,"Bavalelwe ngamanoni abo, bakhuluma ngokuzidla ngomlomo wabo.  "
Verse 11,"Noma siyaphi, bayangizungeza; amehlo abo bawabhekisa kukho ukungiwisa phansi emhlabathini.  "
Verse 12,"Unjengengonyama ehahela ukubamba, njengebhongo lengonyama elilele ezindaweni ezisithekileyo.  "
Verse 13,"Vuka, Jehova, umhlangabeze, umwise phansi; sindisa umphefumulo wami komubi ngenkemba yakho,  "
Verse 14,"nakubantu ngesandla sakho, Jehova, abantu baleli zwe abasabelo sabo sikulokhu kuphila, nabasisu sabo usigcwalisa ngengcebo yakho, nabashiyela izingane zabo okusele kubo.  "
Verse 15,"Kepha mina ngiyakubuka ubuso bakho ekulungeni, ngisuthe ngesimo sakho ekuvukeni kwami."
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 1,"Ngiyakuthanda, Jehova, mandla ami.  "
Verse 2,"Jehova uyidwala lami, nenqaba yami, nomkhululi wami; uNkulunkulu wami uyidwala lami engiphephela kulo, nesihlangu sami, nophondo lokusindiswa kwami, inqaba yami ephakemeyo.  "
Verse 3,"Ngiyamemeza kuJehova odumisekayo, ngisindiswe ezitheni zami.  "
Verse 4,"Izintambo zokufa zangizungelezela, izikhukhula zokona zangethusa.  "
Verse 5,"Izintambo zasendaweni yabafileyo zangizungeza, izihibe zokufa zangehlela.  "
Verse 6,"Ekuhluphekeni kwami ngambiza uJehova, ngakhala kuNkulunkulu wami; walizwa izwi lami esethempelini lakhe; ukukhala kwami phambi kwakhe kwangena ezindlebeni zakhe.  "
Verse 7,"Umhlaba wawusuzamazama, wadikizela; izisekelo zezintaba zathuthumela, zagubhuzela ngokuba ethukuthele.  "
Verse 8,"Kwenyuka umusi emakhaleni akhe, nomlilo odlayo emlonyeni wakhe; amalahle avutha kuye.  "
Verse 9,"Wathobisa izulu, wehla; ubumnyama babuphansi kwezinyawo zakhe.  "
Verse 10,"Wakhwela phezu kwekherubi,* wandiza; washweza ngamaphiko omoya.  "
Verse 11,"Ubumnyama wabenza isisibekelo, idokodo lakhe elimphahlayo; amanzi amnyama, amafu anzima.  "
Verse 12,"Ekukhazimuleni okuphambi kwakhe amafu akhe abanga phambili, isichotho namalahle avuthayo.  "
Verse 13,UJehova waduma ezulwini; oPhezukonke walizwakalisa izwi lakhe: isichotho namalahle avuthayo.  
Verse 14,"Wathuma imicibisholo yakhe, wabangquzula, nemibani eminingi, wabadidizelisa.  "
Verse 15,"Kwase kubonakala imisinga yamanzi; izisekelo zomhlaba zambulwa ngesijeziso sakho, Jehova, ngokufutha komoya wamakhala akho.  "
Verse 16,"Waselula isandla sakhe ephezulu, wangibamba; wangikhipha emanzini amaningi.  "
Verse 17,"Wangophula esitheni sami esinamandla nakubo abangizondayo, ngokuba base bengahlulile.  "
Verse 18,"Bangihlasela ngosuku lwesigemegeme sami, kepha uJehova waba yinsika yami.  "
Verse 19,"Wangiphumisela endaweni ebanzi; wangikhulula, ngokuba ebethokoza ngami.  "
Verse 20,UJehova wangivuza ngokokulunga kwami; wangibuyisela njengokuhlanzeka kwezandla zami.  
Verse 21,"Ngokuba ngizigcinile izindlela zikaJehova, angimukanga kuNkulunkulu wami ngokushinga.  "
Verse 22,"Ngokuba yonke imithetho yakhe yayiphambi kwami, nezimiso zakhe angivumanga ukuba zisuke kimi.  "
Verse 23,Ngangiphelele kuye; ngabuxwaya ububi.  
Verse 24,"UJehova wayesebuyisela kimi njengokulunga kwami, njengokuhlanzeka kwezandla zami phambi kwamehlo akhe.  "
Verse 25,Kothembekileyo uyazibonakalisa uthembekile; kumuntu oqotho uzibonakalisa uqotho;  
Verse 26,kohlanzekileyo uyazibonakalisa uhlanzekile; koyisigwegwe uyazibonakalisa unenkani.  
Verse 27,"Ngokuba wena uyabasindisa abantu abathobekileyo, kepha amehlo abaqhoshileyo uyawathobisa.  "
Verse 28,Ngokuba wena uyokhela isibani sami; uJehova uNkulunkulu wami uyakhanyisa ubumnyama bami.  
Verse 29,Ngokuba ngawe ngingahlasela impi; ngoNkulunkulu wami ngingeqa ugange.  
Verse 30,Indlela kaNkulunkulu iphelele; izwi likaJehova lihlanzekile; yena uyisihlangu kubo bonke abaphephela kuye.  
Verse 31,"Ngokuba ngubani onguNkulunkulu ngaphandle kukaJehova, ngubani oyidwala ngaphandle kukaNkulunkulu wethu na?  "
Verse 32,"uNkulunkulu ongibhincisa amandla, owenza indlela yami ilunge;  "
Verse 33,"owenza izinyawo zami zibe njengezendluzelekazi, angimise emagqumeni ami;  "
Verse 34,"ofundisa izandla zami ukulwa, ukuze izingalo zami zinsale umnsalo wethusi.  "
Verse 35,"Wena unginikile isihlangu sensindiso yakho, isandla sakho sokunene singisekele, nobumnene bakho bungikhulisile.  "
Verse 36,Amabanga okunyathela kwami uwandisile; amaqakala ami awaxegi.  
Verse 37,"Ngazixosha izitha zami, ngazifica; angibuyanga ngingakaziqedi.  "
Verse 38,"Ngaziphahlaza, zaze zahluleka ukuvuka; zawa phansi kwezinyawo zami.  "
Verse 39,Wangibhincisa amandla okulwa; ababengivukele wabathobisa phansi kwami.  
Verse 40,"Wangifulathelisela izitha zami, nabangizondayo ngabaqothula.  "
Verse 41,"Bakhala, kepha akubangakho osindisayo, nakuJehova, kodwa akaze aphendula.  "
Verse 42,Ngabacolisisa njengothuli emoyeni; ngabalahla njengensila ezitaladini.  
